property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area_sqft,purpose,bedrooms,date_added,agency,agent
100003,4,https://www.zameen.com/Property/karachi_gulshan-e-iqbal_town_100003.html,House,10537.0,Gulshan-e-Iqbal Town,Karachi,Sindh,24.822254,67.163597,3,2762.5,For Rent,3,2023-09-28,Agency 8,Agent 78
100004,7,https://www.zameen.com/Property/karachi_gulistan-e-jauhar_100004.html,Flat,8000.0,Gulistan-e-Jauhar,Karachi,Sindh,24.739496,66.835629,3,2188.3,For Rent,3,2024-06-04,Agency 24,Agent 1
100015,8,https://www.zameen.com/Property/karachi_malir_100015.html,Room,8000.0,Malir,Karachi,Sindh,25.018448,67.180519,1,646.0,For Rent,1,2023-12-04,Agency 2,Agent 54
100018,1,https://www.zameen.com/Property/karachi_dha_defence_100018.html,House,21241.0,DHA Defence,Karachi,Sindh,24.790051,66.898728,4,3326.5,For Rent,4,2023-06-10,Agency 3,Agent 18
100019,9,https://www.zameen.com/Property/karachi_korangi_100019.html,Flat,8000.0,Korangi,Karachi,Sindh,24.786305,66.946118,3,817.6,For Rent,4,2023-04-14,Agency 33,Agent 9
100029,8,https://www.zameen.com/Property/karachi_malir_100029.html,Upper Portion,8000.0,Malir,Karachi,Sindh,24.813927,67.109509,2,1139.5,For Rent,2,2024-10-25,Agency 23,Agent 62
100031,9,https://www.zameen.com/Property/karachi_korangi_100031.html,House,12747.0,Korangi,Karachi,Sindh,24.922107,67.100855,5,5640.8,For Rent,6,2023-05-31,Agency 16,Agent 57
100040,11,https://www.zameen.com/Property/karachi_federal_b_area_100040.html,Room,8000.0,Federal B Area,Karachi,Sindh,25.038789,67.029955,1,435.9,For Rent,1,2024-07-18,Agency 37,Agent 74
100044,13,https://www.zameen.com/Property/karachi_shah_faisal_town_100044.html,House,8146.0,Shah Faisal Town,Karachi,Sindh,24.707311,66.876397,3,3158.7,For Rent,4,2023-07-02,Agency 16,Agent 95
100048,7,https://www.zameen.com/Property/karachi_gulistan-e-jauhar_100048.html,Flat,8000.0,Gulistan-e-Jauhar,Karachi,Sindh,24.807493,66.972979,1,974.2,For Rent,1,2023-07-11,Agency 25,Agent 119
100056,11,https://www.zameen.com/Property/karachi_federal_b_area_100056.html,Upper Portion,8237.0,Federal B Area,Karachi,Sindh,24.837948,67.037895,3,1694.2,For Rent,3,2023-05-25,Agency 33,Agent 111
100071,10,https://www.zameen.com/Property/karachi_nazimabad_100071.html,Flat,8000.0,Nazimabad,Karachi,Sindh,24.824918,66.908488,2,1043.8,For Rent,2,2023-10-05,Agency 4,Agent 26
100073,11,https://www.zameen.com/Property/karachi_federal_b_area_100073.html,Farm House,63645.0,Federal B Area,Karachi,Sindh,24.81793,67.01681,5,30618.6,For Rent,5,2024-07-29,Agency 2,Agent 54
100078,12,https://www.zameen.com/Property/karachi_scheme_33_100078.html,House,9914.0,Scheme 33,Karachi,Sindh,25.012783,67.179581,6,1435.5,For Rent,6,2024-04-21,Agency 18,Agent 95
100081,13,https://www.zameen.com/Property/karachi_shah_faisal_town_100081.html,Flat,8000.0,Shah Faisal Town,Karachi,Sindh,24.905902,67.144524,2,2695.8,For Rent,3,2023-08-27,Agency 10,Agent 30
